Index,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Clade4,Superfamily,Clade5,Family,Subfamily,LowestClade,Taxon,Genus,Species,Institution,Number,Specimen,Length_mm,Epoch_lower,Epoch_upper,Reference,Geography,Notes
1,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,N/A,Branchiosauridae,"""Apateon"" intermedius","""Apateon""",intermedius,NHMS,WP 656,NHMS WP 656,13,Pennsylvanian,Pennsylvanian,Schoch & Milner (2014:54),Germany,
2,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,N/A,Branchiosauridae,"""Branchiosaurus"" darrahi","""Branchiosaurus""",darrahi,MCZ,1265,MCZ 1265,7,Pennsylvanian,Pennsylvanian,Schoch & Milner (2014:54),USA,
3,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,N/A,N/A,Amphibamiformes,"""Broiliellus"" hektotopos","""Broiliellus""",hektotopos,CM,8542,CM 8542,40,Cisuralian,Cisuralian,Berman & Berman (1975:73),USA,
4,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,N/A,N/A,Dissorophoidea,"""Mordex laticeps""","""Mordex""","""laticeps""",NHMW,1894-2383,NHMW-1894-2383,6.6,Pennsylvanian,Pennsylvanian,Werneburg (2012:table 3),Czech Republic,taxonomic status of these specimens is unclear after Milner (2018); see also Schoch (2022)
5,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,N/A,N/A,Dissorophoidea,"""Mordex laticeps""","""Mordex""","""laticeps""",NHMW,1983-32-26,NHMW-1983-32-26,9,Pennsylvanian,Pennsylvanian,Werneburg (2012:table 3),Czech Republic,taxonomic status of these specimens is unclear after Milner (2018); see also Schoch (2022)
6,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,N/A,N/A,Dissorophoidea,"""Mordex laticeps""","""Mordex""","""laticeps""",NMP,M 357,NMP M 357,11,Pennsylvanian,Pennsylvanian,Werneburg (2012:table 3),Czech Republic,taxonomic status of these specimens is unclear after Milner (2018); see also Schoch (2022)
7,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,N/A,N/A,Dissorophoidea,"""Mordex laticeps""","""Mordex""","""laticeps""",STIPB,A 40,STIPB-A 40,11.5,Pennsylvanian,Pennsylvanian,Werneburg (2012:table 3),Czech Republic,taxonomic status of these specimens is unclear after Milner (2018); see also Schoch (2022)
8,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,N/A,N/A,Dissorophoidea,"""Mordex laticeps""","""Mordex""","""laticeps""",ZMP,M 00275,ZMP-M 00275,11.8,Pennsylvanian,Pennsylvanian,Werneburg (2012:table 3),Czech Republic,taxonomic status of these specimens is unclear after Milner (2018); see also Schoch (2022)
9,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,N/A,N/A,N/A,N/A,Capitosauria,"""Parotosaurus albertyni""","""Parotosaurus""","""albertyni""",SAM,PK-1876,SAM-PK-1876,600,Middle Triassic,Middle Triassic,Schoch & Milner (2000:158),South Africa,
10,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,N/A,N/A,N/A,N/A,Capitosauria,"""Parotosaurus turfanensis""","""Parotosaurus""","""turfanensis""",IVPP,V 3230,IVPP V 3230,280,Middle Triassic,Middle Triassic,Schoch & Milner (2000:159),China,
