Index,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Clade4,Superfamily,Clade5,Family,Subfamily,LowestClade,Genus,Species,Taxon,Institution,Number,Specimen,Cranial_Postcranial,SkeletalRegion,Cranial,Mandibular,Axial,Pectoral,Forelimb,Pelvic,Hindlimb,Accessory,Indet.,Element,Source,Journal,DOI
1,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,sp.,Eryops sp.,MNHN?,12.6.2.T,12.6.2.T,Postcranial,Hindlimb,0,0,0,0,0,0,1,0,0,femur,Sanchez et al. (2010c),Journal of Evolutionary Biology,https://doi.org/10.1111/j.1420-9101.2010.02081.x
2,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Acheloma,cumminsi,Acheloma cumminsi,MNHN?,38.1.1.T,38.1.1.T,Postcranial,Hindlimb,0,0,0,0,0,0,1,0,0,femur,Sanchez et al. (2010c),Journal of Evolutionary Biology,https://doi.org/10.1111/j.1420-9101.2010.02081.x
3,Temnospondyli,Rhachitomi,N,N,Dvinosauria,N/A,N/A,Trimerorhachidae,N/A,Trimerorhachidae,Trimerorhachis,sp.,Trimerorhachis sp.,MNHN?,40.1.1.T,40.1.1.T,Postcranial,Hindlimb,0,0,0,0,0,0,1,0,0,femur,Sanchez et al. (2010c),Journal of Evolutionary Biology,https://doi.org/10.1111/j.1420-9101.2010.02081.x
4,Temnospondyli,Rhachitomi,N,N,Dvinosauria,N/A,N/A,Trimerorhachidae,N/A,Trimerorhachidae,Trimerorhachis,sp.,Trimerorhachis sp.,MNHN?,40.1.2.T,40.1.2.T,Postcranial,Forelimb,0,0,0,0,1,0,0,0,0,humerus,Sanchez et al. (2010c),Journal of Evolutionary Biology,https://doi.org/10.1111/j.1420-9101.2010.02081.x
5,Temnospondyli,Rhachitomi,N,N,Dvinosauria,N/A,N/A,Trimerorhachidae,N/A,Trimerorhachidae,Trimerorhachis,sp.,Trimerorhachis sp.,MNHN?,40.1.6.T,40.1.6.T,Postcranial,Hindlimb,0,0,0,0,0,0,1,0,0,femur,Sanchez et al. (2010c),Journal of Evolutionary Biology,https://doi.org/10.1111/j.1420-9101.2010.02081.x
6,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Benthosuchidae,Benthosuchinae,Benthosuchidae,Benthosuchus,sushkini,Benthosuchus sushkini,MNHN?,44.1.2.T,44.1.2.T,Postcranial,Forelimb,0,0,0,0,1,0,0,0,0,humerus,Sanchez et al. (2010c),Journal of Evolutionary Biology,https://doi.org/10.1111/j.1420-9101.2010.02081.x
7,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Benthosuchidae,Benthosuchinae,Benthosuchidae,Benthosuchus,sushkini,Benthosuchus sushkini,MNHN?,44.1.3.T,44.1.3.T,Postcranial,Forelimb,0,0,0,0,1,0,0,0,0,humerus,Sanchez et al. (2010c),Journal of Evolutionary Biology,https://doi.org/10.1111/j.1420-9101.2010.02081.x
8,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Wetlugasauridae,Wetlugasaurinae,Wetlugasauridae,Wetlugasaurus,angustifrons,Wetlugasaurus angustifrons,MNHN?,603.1.1.T,603.1.1.T,Postcranial,Forelimb,0,0,0,0,1,0,0,0,0,humerus,Sanchez et al. (2010c),Journal of Evolutionary Biology,https://doi.org/10.1111/j.1420-9101.2010.02081.x
9,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Lydekkerinidae,N/A,Lydekkerinidae,Lydekkerina,huxleyi,Lydekkerina huxleyi,BP,1/1373,BP/1/1373,Postcranial,Mixed postcranial,0,0,1,0,0,0,1,0,0,femur; rib,Canoville & Chinsamy (2015),Anatomical Record,https://doi.org/10.1002/ar.23160
10,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Lydekkerinidae,N/A,Lydekkerinidae,Lydekkerina,huxleyi,Lydekkerina huxleyi,BP,1/5021,BP/1/5021,Postcranial,Hindlimb,0,0,0,0,0,0,1,0,0,femur,Canoville & Chinsamy (2015),Anatomical Record,https://doi.org/10.1002/ar.23160
11,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Lydekkerinidae,N/A,Lydekkerinidae,Lydekkerina,huxleyi,Lydekkerina huxleyi,BP,1/5022,BP/1/5022,Postcranial,Forelimb,0,0,0,0,1,0,0,0,0,humerus,Canoville & Chinsamy (2015),Anatomical Record,https://doi.org/10.1002/ar.23160
12,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,N/A,N/A,Stereospondyli,Peltobatrachus,pustulatus,Peltobatrachus pustulatus,CAMZM,T.270,CAMZM T.270,Postcranial,Osteoderm/scalation,0,0,0,0,0,0,0,1,0,osteoderm,Witzmann & Soler-Gijón (2010),Acta Zoologica,https://doi.org/10.1111/j.1463-6395.2008.00385.x
13,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Platyhystricinae,Dissorophidae,Platyhystrix,rugosa,Platyhystrix rugosa,CM,96546,CM 96546,Postcranial,Mixed postcranial,0,0,1,0,0,0,0,1,0,vertebra; osteoderm,Bowler et al. (2022),Journal of Vertebrate Paleontology,https://doi.org/10.1080/02724634.2022.2144338
14,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Cacopinae,Dissorophidae,Cacops,aspidephorus,Cacops aspidephorus,FMNH,UR 2491,FMNH UR 2491,Postcranial,Osteoderm/scalation,0,0,0,0,0,0,0,1,0,osteoderm,Witzmann & Soler-Gijón (2010),Acta Zoologica,https://doi.org/10.1111/j.1463-6395.2008.00385.x
15,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,caducus,Apateon caducus,GPIM,N 1297,GPIM-N 1297,Postcranial,Forelimb,0,0,0,0,1,0,0,0,0,humerus; radius; ulna,Sanchez et al. (2010d),Geological Society London Special Publications,https://doi.org/10.1144/SP339.12
16,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,caducus,Apateon caducus,GPIM,N 1297,GPIM-N 1297,Postcranial,Forelimb,0,0,0,0,1,0,0,0,0,humerus; radius; ulna,Estefa et al. (2021),eLife,https://doi.org/10.7554/eLife.51581
17,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,pedestris,Apateon pedestris,GPIM,N 1471,GPIM-N 1471,Postcranial,Mixed postcranial,0,0,0,0,1,0,1,0,0,humerus; femur,Sanchez et al. (2010d),Geological Society London Special Publications,https://doi.org/10.1144/SP339.12
18,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,caducus,Apateon caducus,GPIM,N 1560,GPIM-N 1560,Postcranial,Forelimb,0,0,0,0,1,0,0,0,0,humerus,Sanchez et al. (2010d),Geological Society London Special Publications,https://doi.org/10.1144/SP339.12
19,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,caducus,Apateon caducus,GPIM,N 1572,GPIM-N 1572,Postcranial,Forelimb,0,0,0,0,1,0,0,0,0,radius; ulna,Estefa et al. (2021),eLife,https://doi.org/10.7554/eLife.51581
20,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,caducus,Apateon caducus,GPIM,N 1572,GPIM-N 1572,Postcranial,Forelimb,0,0,0,0,1,0,0,0,0,humerus; radius; ulna,Sanchez et al. (2010d),Geological Society London Special Publications,https://doi.org/10.1144/SP339.12
21,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,caducus,Apateon caducus,GPIM,N 1589,GPIM-N 1589,Postcranial,Forelimb,0,0,0,0,1,0,0,0,0,humerus,Sanchez et al. (2010d),Geological Society London Special Publications,https://doi.org/10.1144/SP339.12
22,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,caducus,Apateon caducus,GPIM,N 1602,GPIM-N 1602,Postcranial,Forelimb,0,0,0,0,1,0,0,0,0,humerus; radius; ulna,Sanchez et al. (2010d),Geological Society London Special Publications,https://doi.org/10.1144/SP339.12
23,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,caducus,Apateon caducus,GPIM,N 1680,GPIM-N 1680,Postcranial,Hindlimb,0,0,0,0,0,0,1,0,0,femur,Sanchez et al. (2010d),Geological Society London Special Publications,https://doi.org/10.1144/SP339.12
24,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,sp.,Eryops sp.,IPBSH,63,IPBSH-63,Postcranial,Axial,0,0,1,0,0,0,0,0,0,intercentrum,Konietzko-Meier et al. (2014),Biological Journal of the Linnean Society,https://doi.org/10.1111/bij.12301
25,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,sp.,Eryops sp.,IPBSH,64,IPBSH-64,Postcranial,Hindlimb,0,0,0,0,0,0,1,0,0,femur,Konietzko-Meier et al. (2016),Comptes Rendus Paleovol,https://doi.org/10.1016/j.crpv.2015.06.005
26,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,sp.,Eryops sp.,IPBSH,73,IPBSH-73,Postcranial,Forelimb,0,0,0,0,1,0,0,0,0,ulna,Konietzko-Meier et al. (2016),Comptes Rendus Paleovol,https://doi.org/10.1016/j.crpv.2015.06.005
27,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,sp.,Eryops sp.,IPBSH,75,IPBSH-75,Postcranial,Forelimb,0,0,0,0,1,0,0,0,0,radius,Konietzko-Meier et al. (2016),Comptes Rendus Paleovol,https://doi.org/10.1016/j.crpv.2015.06.005
28,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,sp.,Eryops sp.,IPBSH,76,IPBSH-76,Postcranial,Forelimb,0,0,0,0,1,0,0,0,0,ulna,Konietzko-Meier et al. (2016),Comptes Rendus Paleovol,https://doi.org/10.1016/j.crpv.2015.06.005
29,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,sp.,Eryops sp.,IPBSH,78,IPBSH-78,Postcranial,Hindlimb,0,0,0,0,0,0,1,0,0,femur,Konietzko-Meier et al. (2016),Comptes Rendus Paleovol,https://doi.org/10.1016/j.crpv.2015.06.005
30,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,sp.,Eryops sp.,IPBSH,81,IPBSH-81,Postcranial,Hindlimb,0,0,0,0,0,0,1,0,0,fibula,Konietzko-Meier et al. (2016),Comptes Rendus Paleovol,https://doi.org/10.1016/j.crpv.2015.06.005
31,Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Temnospondyli,N/A,N/A,Temnospondyli indet.,ISI,A 181/1,ISI A 181/1,Postcranial,Forelimb,0,0,0,0,1,0,0,0,0,humerus,Mukherjee et al. (2010),Journal of Vertebrate Paleontology,https://doi.org/10.1080/02724630903409121
32,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Paracyclotosauridae,N/A,Paracyclotosauridae,N/A,N/A,Paracyclotosauridae indet.,ISI,A 181/10,ISI A 181/10,Postcranial,Axial,0,0,1,0,0,0,0,0,0,rib,Mukherjee et al. (2010),Journal of Vertebrate Paleontology,https://doi.org/10.1080/02724630903409121
