Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Clade 4,Superfamily,Clade 5,Family,Subfamily,Lowest clade,Genus,Species,Taxon,Author,Year,Authority,Type_repository,Type_number,Type_specimen,Type_type,Repository_country,Type_country,Status,Notes
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,N/A,N/A,Amphibamiformes,"""Broiliellus""",hektotopos,"""Broiliellus"" hektotopos","Berman, Berman",1975,"Berman, Berman (1975)",CM,8542,CM 8539,Holotype,USA,USA,Disputed (genus),improper genus placement is widely accepted; species validity is unclear without revision
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,N/A,N/A,Stereospondyli,Abiadisaurus,witteni,Abiadisaurus witteni,"Warren, Yates, Damiani, Goodwin, Wood, Schaff",1998,"Warren, Yates, Damiani, Goodwin, Wood, Schaff (1998)",UCMP,154459,UCMP 154459,Holotype,USA,Ethiopia,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Acanthostomatops,vorax,Acanthostomatops vorax,Credner,1883,Credner (1883),LFUG-SS,13556 + 13214,LFUG-SS 13556 + 13214,Lectotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhytidosteidae,N/A,Rhytidosteidae,Acerastea,wadeae,Acerastea wadeae,"Warren, Hutchinson",1987,"Warren, Hutchinson (1987)",QM,F12277,QM F12277,Holotype,Australia,Australia,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acheloma,casei,Acheloma casei,Broili,1913,Broili (1913),BSP,?,BSP ?,Holotype,Germany,USA,Junior synonym,formerly at BSP (destroyed)
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Acheloma,cumminsi,Acheloma cumminsi,Cope,1882,Cope (1882),AMNH,FARB 4205,AMNH FARB 4189,Holotype,USA,USA,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acheloma,dunni,Acheloma dunni,"Polley, Reisz",2011,"Polley, Reisz (2011)",OMNH,73281,OMNH 73281,Holotype,USA,USA,Disputed,"considered to be junior synonym of A. cumminsi by Gee (2020), challenged by Osterling Arias et al. (2024)"
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Acheloma,cryptatheria,Acheloma cryptatheria,"Osterling Arias, Mooney, Bevitt, Reisz",2024,"Osterling Arias, Mooney, Bevitt, Reisz (2024)",ROM,VP 88291,ROM VP 88291,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Eobrachyopoidae,N/A,Eobrachyopoidae,Acroplous,vorax,Acroplous vorax,Hotton,1959,Hotton (1959),KUVP,9822,KUVP 9822,Holotype,USA,USA,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Actinodon,brevis,Actinodon brevis,Gaudry,1866,Gaudry (1866),MNHN,Aut 469,MNHN Aut 469,Holotype,France,France,Junior synonym,
Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,N/A,Eryopidae,Actinodon,frossardi,Actinodon frossardi,Gaudry,1866,Gaudry (1866),MNHN,1908.20.6,MNHN 1908.20.6,Holotype,France,France,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Actinodon,germanicus,Actinodon germanicus,Kuhn,1939b,Kuhn (1939b),GMH,?,GMH V2051,Holotype,Germany,Czech Republic,Junior synonym,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Actinonodon,latirostris,Actinonodon latirostris,Romer,1939,Romer (1939),n/a,n/a,n/a,n/a,n/a,n/a,Outdated combination,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Actiobates,peabodyi,Actiobates peabodyi,Eaton,1973,Eaton (1973),KUVP,17941,KUVP 17941,Holotype,USA,USA,Valid,
Temnospondyli,N,N,N,N/A,Edopoidea,N/A,Cochleosauridae,N/A,Cochleosauridae,Adamanterpeton,ohioensis,Adamanterpeton ohioensis,"Milner, Sequeira",1998,"Milner, Sequeira (1998)",AMNH,FARB 2933,AMNH FARB 2566,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Alegeinosaurus,aphthitos,Alegeinosaurus aphthitos,Case,1911,Case (1911),AMNH,FARB 4756,AMNH FARB 4719,Holotype,USA,USA,Nomen dubium,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Almasauridae,N/A,Almasauridae,Almasaurus,habbazi,Almasaurus habbazi,Dutuit,1976,Dutuit (1976),MNHN,F.ALM 42,MNHN.F.ALM 42,Lectotype,France,Morocco,Valid,lectotype designation by Khaldoune et al. (2016)
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Amphibamidae,N/A,Amphibamidae,Amphibamus,grandiceps,Amphibamus grandiceps,Cope,1865,Cope (1865),YPM,VP 000794,YPM VP 000794,Neotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Cacopinae,Dissorophidae,Anakamacops,petrolicus,Anakamacops petrolicus,"Li, Cheng",1999,"Li, Cheng (1999)",IGCAGS,V 365,IGCAGS V 365,Holotype,China,China,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Anaschisma,brachygnatha,Anaschisma brachygnatha,Branson,1905,Branson (1905),FMNH,UC 448,FMNH UC 447,Holotype,USA,USA,Junior synonym,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Anaschisma,browni,Anaschisma browni,Branson,1905,Branson (1905),FMNH,UC 447,FMNH UC 2000,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Anconastes,vesperus,Anconastes vesperus,"Berman, Eberth, Reisz",1987,"Berman, Eberth, Reisz (1987)",CM,28590,CM 25474,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,N/A,Trematosauroidea,Angusaurus,dentatus,Angusaurus dentatus,Getmanov,1989,Getmanov (1989),PIN,4196/1,PIN 4196/1,Holotype,Russia,Russia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,N/A,Trematosauroidea,Angusaurus,succedaneus,Angusaurus succedaneus,Getmanov,1989,Getmanov (1989),PIN,2428/1,PIN 2428/1,Holotype,Russia,Russia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,N/A,Trematosauroidea,Angusaurus,tsylmensis,Angusaurus tsylmensis,Novikov,1990,Novikov (1990),PIN,4333/6,PIN 4333/6,Holotype,Russia,Russia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,N/A,Trematosauroidea,Angusaurus,weidenbaumi,Angusaurus weidenbaumi,Kuz'min,1935,Kuz'min (1935),PIN,155/10,PIN 155/10,Holotype,Russia,Russia,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Anisodexis,imbricarius,Anisodexis imbricarius,Cope,1882,Cope (1882),AMNH,FARB 4556,AMNH FARB 4376,Holotype,USA,USA,Junior synonym,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Antarctosuchus,polyodon,Antarctosuchus polyodon,"Sidor, Steyer, Hammer",2014,"Sidor, Steyer, Hammer (2014)",AMNH,FARB 24411,AMNH FARB 2002,Holotype,USA,Antarctica,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,N/A,N/A,Amphibamiformes,Anthracobamus,fayoli,Anthracobamus fayoli,Thevenin,1906,Thevenin (1906),MNHNP – COM,206,MNHNP – COM 206,Lectotype,France,France,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,N/A,N/A,Amphibamiformes,Anthracobamus,fritschi,Anthracobamus fritschi,Werneburg,2012,Werneburg (2012),NHMW,1983/32/27,NHMW-1983/32/27,Holotype,Czech Republic,Czech Republic,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Apachesaurus,gregorii,Apachesaurus gregorii,Hunt,1993,Hunt (1993),UCMP,63845,UCMP 63845,Holotype,USA,USA,Valid,
