Index,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Clade4,Superfamily,Clade5,Family,Subfamily,LowestClade,Genus,Species,Taxon,Institution,Number,Specimen,Includes,Status,Geography,Assemblage.Zone,Group,Horizon,Formation,Epoch_lower,Epoch_upper,Site.name,Site.code,References,Notes
1,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,N/A,Trematosauroidea,Microposaurus,averyi,Microposaurus averyi,AM,F.135895,AM F.135895,"partial skull, partial mandibles",holotype,Australia,N/A,Wianamatta Group,N/A,Ashfield Shale,Middle Triassic,Middle Triassic,7 km SE of Picton,,Warren (2012),
2,Temnospondyli,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Temnospondyli,N/A,N/A,Temnospondyli indet.,AM,F.147826,AM F.147826,tooth,referred,Australia,N/A,N/A,N/A,Purlawaugh Formation,Upper Jurassic,Upper Jurassic,Talbragar Fossil Fish Bed,,Hart et al. (2021),
3,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,N/A,N/A,Capitosauroidea indet.,AM,F.165,AM F.165,nearly complete skull (natural mold),referred,Australia,N/A,Narrabeen Group,N/A,Gosford Formation,Lower Triassic,Lower Triassic,Gosford,,Damiani & Warren (1997),holotype of 'Parotosaurus wadei'
4,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Paracyclotosauridae,N/A,Paracyclotosauridae,Stanocephalosaurus,sp.,Stanocephalosaurus sp.,AM,F.47499,AM F.47499,skull roof (natural mold),referred,Australia,N/A,N/A,N/A,Hawkesbury Sandstone,Lower Triassic,Lower Triassic,Beacon Hill,,Watson (1958); Schoch & Milner (2000),holotype of 'Subcyclotosaurus brookvalensis'
5,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhytidosteidae,N/A,Rhytidosteidae,Trucheosaurus,major,Trucheosaurus major,AM,F.50977,AM F.50977,partial postcranial skeleton,holotype,Australia,N/A,N/A,N/A,Glen Davis Formation,Lopingian,Lopingian,near Capestee,,Marsicano & Warren (1998),associated with MMF 12697a and BMNH R3728
6,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhytidosteidae,Derwentiinae,Rhytidosteidae,Rewana,quadricuneata,Rewana quadricuneata,AM,F.54126,AM F.54126,"skull, postcranial fragments",referred,Australia,N/A,Rewan Group,N/A,Arcadia Formation,Lower Triassic,Lower Triassic,unspecified,,Dias-da-Silva & Marsicano (2011),the type locality is only listed as being in southern Queensland by Schoch & Milner (2000) and Dias-da-Silva & Marsicano
7,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,cf. Bulgosuchus,sp.,cf. Bulgosuchus sp.,AM,F.54961,AM F.54961,partial right femur,referred,Australia,N/A,Narrabeen Group,N/A,Bulgo Sandstone,Lower Triassic,Lower Triassic,Longreef,,Damiani (1999),the original referral acknowledges the lack of any diagnostic attribute or overlap that justifies the referral
8,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Capitosauridae,N/A,Capitosauridae,N/A,N/A,Capitosauridae indet.,AM,F.57957,AM F.57957,partial right hemimandible (impression),referred,Australia,N/A,Narrabeen Group,N/A,Terrigal Formation,Lower Triassic,Middle Triassic,Little Beach,,Damiani (1999),
9,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Watsonisuchus,gunganj,Watsonisuchus gunganj,AM,F.60227,AM F.60227,"partial skull, partial hemimandible",referred,Australia,N/A,Rewan Group,N/A,Arcadia Formation,Lower Triassic,Lower Triassic,The Crater,QM L78,Warren (1980),
10,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Bulgosuchus,gargantua,Bulgosuchus gargantua,AM,F.80190,AM F.80190,partial left hemimandible,holotype,Australia,N/A,Narrabeen Group,N/A,Bulgo Sandstone,Lower Triassic,Lower Triassic,Longreef,,Damiani (1999),
11,Temnospondyli,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Temnospondyli,N/A,N/A,Temnospondyli indet.,AM,F.95421,AM F.95421,"vertebrae, ribs",referred,Australia,N/A,N/A,N/A,Borehole Seam,Lopingian,Lopingian,West Wallsend Colliery,,Warren (1997),part/counterpart with AM F.95422
12,Temnospondyli,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Temnospondyli,N/A,N/A,Temnospondyli indet.,AM,F.95422,AM F.95422,"vertebrae, ribs",referred,Australia,N/A,N/A,N/A,Borehole Seam,Lopingian,Lopingian,West Wallsend Colliery,,Warren (1997),part/counterpart with AM F.95422
13,Temnospondyli,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Temnospondyli,N/A,N/A,Temnospondyli indet.,AM,F.97240,AM F.97240,vertebrae,referred,Australia,N/A,N/A,N/A,Borehole Seam,Lopingian,Lopingian,West Wallsend Colliery,,Warren (1997),
14,Temnospondyli,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Temnospondyli,N/A,N/A,Temnospondyli indet.,AM,F.97241,AM F.97241,"partial skull, partial hemimandible, vertebrae, ribs (part/counterpart)",referred,Australia,N/A,N/A,N/A,Borehole Seam,Lopingian,Lopingian,West Wallsend Colliery,,Warren (1997),
15,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Trematosauridae,Thoosuchinae,Trematosauridae,Thoosuchus,yakovlevi,Thoosuchus yakovlevi,AM,F.98271,AM F.98271,nearly complete skull,referred,Russia,Benthosuchus Fauna,N/A,Rybinskian Horizon,unspecified,Lower Triassic,Lower Triassic,near Rybinsk,,Damiani & Yates (2003),
